time,ax,ay,az,aT
3.1180,0.4431,-15.0352,-3.8621,15.530
3.1280,-1.4118,-14.8676,-5.4861,15.910
3.1520,-1.6269,-14.6913,-5.3681,15.726
3.1540,-3.6513,-12.4321,-4.6003,13.750
3.1580,-3.0998,-11.1129,-2.6527,11.838
3.1690,-1.8049,-9.4739,-0.7869,9.676
3.1790,-1.9677,-9.3086,-0.7042,9.540
3.2020,0.0504,-5.7889,0.5443,5.815
3.2030,-0.0913,-5.6441,0.5872,5.675
3.2080,1.5384,-1.3176,2.6714,3.353
3.2210,1.4119,-1.1952,2.6734,3.251
3.2290,5.0180,4.2051,5.1383,8.323
3.2450,5.1990,5.8410,5.6658,9.657
3.2470,5.1625,5.8712,5.6498,9.646
3.2580,3.5443,8.7067,6.7849,11.593
3.2730,3.5440,8.6801,6.7284,11.540
3.2790,2.0534,10.2148,5.9351,11.991
3.3010,-2.5853,14.9758,5.3266,16.104
3.3040,-2.5280,14.9280,5.3488,16.058
3.3070,-2.2033,17.0902,6.6673,18.477
3.3190,-0.2116,18.7871,9.1070,20.879
3.3270,0.9781,19.0207,10.7445,21.868
3.3380,-1.5623,16.6854,12.3702,20.829
3.3490,-1.5601,16.6868,12.3780,20.835
3.3580,-2.8712,14.3580,11.2263,18.451
3.3730,-5.4862,8.9400,6.3363,12.254
3.3780,-5.2100,5.5689,4.0247,8.623
3.3970,-5.1499,2.9856,2.1969,6.345
3.4010,-5.1313,3.0636,2.3684,6.428
3.4100,-6.4809,0.4634,0.0278,6.498
3.4180,-9.1390,-2.2313,-1.6539,9.552
3.4280,-11.4821,-3.6283,-2.0813,12.220
3.4420,-13.0265,-4.8748,-1.5414,13.994
3.4500,-13.3005,-6.9152,0.3205,14.994
3.4650,-12.8563,-7.7956,1.4614,15.106
3.4720,-11.0106,-7.8046,3.8474,14.034
3.4790,-10.8854,-7.8945,3.8740,13.994
3.4900,-8.6436,-5.9137,6.6666,12.415
3.4980,-9.4179,-5.0345,6.3616,12.430
3.5130,-11.4223,-4.1608,5.2535,13.243
3.5180,-11.4429,-4.1525,5.2381,13.252
3.5360,-12.2299,-2.8323,4.6079,13.373
3.5370,-9.7080,1.5964,6.0677,11.559
3.5580,-9.5454,1.4412,6.0273,11.381
3.5600,-8.8018,6.4025,8.8883,14.052
3.5810,-8.6517,6.2593,8.8268,13.854
3.5830,-3.7100,10.1267,7.8233,13.324
3.5890,-1.3348,11.2859,6.8370,13.263
3.5980,-1.1820,11.1405,6.7370,13.073
3.6080,-1.1423,11.0658,8.0585,13.737
3.6180,-6.7871,11.8972,16.1485,21.175
3.6310,-7.3818,14.1347,20.4527,25.934
3.6380,-4.7710,16.0773,22.0017,27.664
3.6490,-4.7979,16.0936,22.0067,27.682
3.6580,2.2336,17.7879,14.5869,23.112
3.6670,2.1643,17.8957,14.7592,23.298
3.6770,9.1638,17.4226,7.9833,21.243
3.6920,11.1565,15.6295,7.2846,20.538
3.7160,9.8241,12.5834,8.5574,18.113
3.7180,9.8159,12.6291,8.6366,18.178
3.7220,5.4444,8.1242,10.4547,14.316
3.7270,3.7735,4.4876,11.8082,13.184
3.7380,1.4965,-3.3173,12.6697,13.182
3.7470,1.4691,-3.3408,12.5871,13.106
3.7580,1.2614,-8.4802,9.4220,12.739
3.7690,0.6863,-10.5681,5.4828,11.925
3.7810,1.1007,-11.9091,2.4906,12.216
3.8150,2.5633,-14.1763,-1.3870,14.473
3.8180,2.0634,-16.2595,-4.2566,16.934
3.8230,1.9495,-16.1822,-4.2577,16.846
3.8240,-1.5335,-16.2888,-6.4316,17.580
3.8310,-2.2477,-16.3431,-5.0138,17.242
3.8390,-1.6859,-15.7957,-3.5007,16.267
3.8480,-0.1360,-14.0250,-1.6101,14.118
3.8590,1.3105,-10.9994,0.0657,11.077
3.8680,1.1969,-10.8778,0.1154,10.944
3.8790,3.6263,-4.3064,1.8259,5.919
3.9070,3.5760,-4.2216,1.8994,5.850
3.9080,3.0085,-0.9233,3.4974,4.705
3.9090,2.2553,1.7040,4.6601,5.450
3.9370,7.8225,10.5116,3.6691,13.607
3.9380,14.8146,16.1853,5.1125,22.529
3.9390,17.0914,20.9938,7.8037,28.174
3.9500,17.0689,20.9756,7.7291,28.126
3.9600,8.9953,18.6637,14.8928,25.516
3.9680,2.3223,16.2468,19.3133,25.345
3.9870,-1.4042,14.2111,20.6711,25.124
3.9900,-1.4640,14.2126,20.5393,25.020
3.9990,-3.2286,11.6292,15.2900,19.479
4.0100,-4.5798,9.4980,7.1717,12.752
4.0180,-6.0392,7.5278,-2.9883,10.103
4.0280,-7.1722,6.0414,-7.7696,12.178
4.0390,-7.9388,2.5780,-9.0537,12.314
4.0480,-7.9732,2.6718,-8.9624,12.290
4.0590,-7.2581,1.2182,-5.4413,9.153
4.0710,-9.2174,-2.2234,1.6354,9.622
4.0790,-10.6309,-3.3898,4.0033,11.855
4.0970,-11.8011,-4.4003,6.1549,14.018
4.1000,-11.6934,-5.1412,8.0227,15.084
4.1350,-11.5952,-5.2444,8.0166,15.041
4.1380,-8.5995,-3.7590,7.5525,12.047
4.1410,-10.0153,-2.3172,4.0637,11.054
4.1530,-11.7292,-1.8623,1.4973,11.970
4.1580,-13.3339,-1.5013,-0.3778,13.423
4.1600,-13.9036,-0.9345,-0.2098,13.937
