time,ax,ay,az,aT
2.5380,3.3913,9.6334,10.4351,14.601
2.5380,1.7989,9.3555,8.6878,12.893
2.5460,0.8733,9.2307,6.7769,11.485
2.5570,-0.5628,9.2383,3.8540,10.026
2.5700,-2.1602,8.9883,0.7237,9.273
2.5790,-4.4386,8.1087,-2.2804,9.521
2.5900,-5.9444,7.2662,-3.0908,9.884
2.5960,-7.3550,6.5237,-2.5043,10.145
2.6060,-8.7788,5.5871,-0.8073,10.437
2.6190,-10.0654,4.8454,0.5281,11.183
2.6440,-11.3596,4.1231,1.1964,12.144
2.6500,-12.1476,3.1138,0.4511,12.548
2.6520,-12.5424,2.4452,-0.7776,12.802
2.6790,-12.6661,1.9985,-2.3997,13.045
2.6810,-12.3113,2.0855,-3.5352,12.977
2.6820,-11.3261,2.5382,-3.7093,12.185
2.7090,-9.1365,3.3026,-2.3158,9.987
2.7100,-6.3614,4.2897,-0.4028,7.683
2.7200,-4.1060,4.7444,1.2419,6.396
2.7200,-3.9863,4.5055,1.2873,6.152
2.7430,0.0983,5.5721,4.3424,7.065
2.7440,1.1711,5.7416,5.2273,7.853
2.7690,2.1542,5.8135,5.7780,8.475
2.7710,3.7956,5.8853,6.5689,9.602
2.7710,5.6972,5.7141,7.5689,11.063
2.7780,7.6954,5.6827,8.7701,12.978
2.7900,8.8519,5.9199,8.9987,13.942
2.7970,10.3234,5.3695,7.9395,14.087
2.8080,11.0403,4.3627,5.9738,13.289
2.8450,10.5289,3.3591,3.6180,11.629
2.8480,9.8286,2.4474,2.6239,10.463
2.8510,9.1299,0.7753,2.3188,9.452
2.8530,8.0809,-1.0309,2.6191,8.557
2.8560,6.8837,-2.7901,3.6330,8.269
2.8690,5.2228,-4.9042,5.1252,8.809
2.8790,2.5774,-6.7313,6.4311,9.660
2.8920,0.7392,-7.8970,7.2402,10.739
2.8970,-0.6431,-8.9037,7.9442,11.950
2.9060,-1.5857,-9.8456,7.9964,12.783
2.9220,-2.2866,-10.6190,7.4970,13.198
2.9260,-3.0569,-11.4859,6.0557,13.340
2.9400,-4.2412,-12.2351,3.6903,13.465
2.9470,-5.3896,-12.4347,1.8429,13.677
2.9580,-7.1343,-12.3364,-0.2739,14.253
2.9670,-8.3495,-12.0000,-1.7044,14.718
2.9780,-8.6357,-11.3504,-2.8800,14.550
2.9870,-7.9826,-10.6787,-3.3620,13.750
3.0020,-6.7087,-9.6805,-3.0813,12.174
3.0070,-5.3319,-8.7308,-2.3155,10.489
3.0200,-3.4862,-7.3375,-1.2838,8.224
3.0570,-2.0513,-5.9710,-0.6134,6.343
3.0600,-0.0019,-4.3767,-0.0194,4.377
3.0620,2.0949,-2.9255,0.2424,3.606
3.0820,3.8826,-0.8022,-0.1977,3.970
3.0850,4.2148,1.0551,-0.6401,4.392
3.0920,3.8015,3.4290,-0.9323,5.204
3.0940,3.6325,5.1918,-0.7217,6.377
3.0990,4.8551,6.2963,0.3020,7.957
3.1070,6.0253,7.9988,1.5627,10.135
3.1190,6.5678,9.3621,3.6377,12.001
3.1270,6.6552,9.6470,5.3330,12.876
3.1400,6.3175,9.4877,6.9342,13.342
3.1530,5.4801,9.1521,8.5507,13.671
3.1800,4.1584,9.2600,9.5444,13.933
3.1800,2.9683,9.4363,9.6491,13.819
3.1810,1.8475,9.2839,8.3506,12.623
3.1880,1.1976,9.0659,6.4962,11.217
3.1990,0.3613,8.5465,3.9807,9.435
3.2090,-0.9543,7.7126,0.9836,7.833
3.2160,-2.2453,6.9532,-1.3756,7.435
3.2370,-3.7698,6.1630,-2.9546,7.805
3.2390,-5.9724,5.3055,-3.2673,8.631
3.2470,-7.7499,4.4702,-1.9192,9.150
3.2570,-9.1735,3.5920,0.1658,9.853
3.2660,-10.0483,2.7493,1.4741,10.521
3.3070,-10.9112,1.6540,1.7268,11.170
3.3120,-11.5818,0.6441,0.9805,11.641
3.3130,-12.0843,-0.3364,-0.4511,12.097
3.3150,-12.1178,-0.7740,-1.3281,12.215
3.3260,-11.8450,-0.9230,-1.5913,11.987
3.3280,-10.8536,-0.8374,-1.0726,10.939
3.3390,-9.5358,-0.3533,-0.3353,9.548
3.3470,-8.1803,0.8240,0.6093,8.244
3.3620,-6.8697,2.0548,1.1903,7.269
3.3680,-5.3502,2.9864,1.4639,6.300
3.3900,-3.4258,4.3662,1.7397,5.816
3.3910,-2.3835,5.6073,2.3001,6.513
3.4000,-1.0537,6.7066,2.9703,7.410
3.4080,1.2683,8.1019,3.6051,8.958
3.4230,4.4430,9.2416,5.8320,11.797
3.4280,6.8715,9.6008,8.5201,14.560
3.4570,8.7062,10.0684,11.0565,17.304
3.4590,9.1908,10.3063,10.8407,17.556
3.4640,9.9355,9.5258,8.4364,16.144
3.4690,10.3272,8.5099,5.2334,14.369
3.4810,10.2741,6.8880,2.6285,12.646
3.4880,9.8674,5.6550,2.7840,11.709
3.4990,8.2948,3.8816,3.5558,9.824
3.5080,6.8593,2.0759,3.9960,8.205
3.5380,5.4998,0.3265,3.7368,6.657
3.5400,3.9945,-1.4081,3.3000,5.369
3.5410,2.8196,-3.0609,3.1595,5.225
3.5490,2.1934,-4.2716,3.1806,5.760
3.5630,1.5002,-5.6285,3.2274,6.659
3.5710,0.5880,-7.0628,3.2073,7.779
3.5790,-0.2927,-8.2059,3.0898,8.773
3.5900,-1.5253,-9.4428,2.7664,9.957
3.6010,-2.3935,-10.4300,2.1535,10.916
3.6140,-2.5735,-10.7546,1.3260,11.137
3.6490,-2.5292,-10.9188,0.3947,11.215
3.6540,-2.6797,-11.0163,-0.2210,11.340
3.6620,-3.4725,-11.0551,-0.5310,11.600
3.6650,-4.1737,-10.6482,-0.9504,11.476
3.6690,-4.8326,-10.2911,-1.5279,11.471
3.6720,-5.3821,-9.7512,-2.4512,11.404
3.6970,-5.9439,-8.8693,-3.7089,11.303
3.7120,-6.3185,-8.0932,-4.6605,11.276
3.7130,-6.3653,-7.7067,-5.2225,11.278
3.7140,-5.6898,-7.1387,-4.9497,10.384
3.7220,-3.8327,-5.2866,-3.9796,7.647
3.7290,-2.7417,-3.7355,-3.0190,5.530
3.7470,-0.8786,-2.0007,-1.5170,2.660
3.7490,1.1920,-0.2896,-0.0003,1.227
3.7630,3.3247,1.9170,2.0089,4.332
3.7690,5.2033,3.7295,3.2717,7.189
3.7830,6.5650,5.6754,2.9955,9.181
3.7910,6.6139,6.9697,2.3016,9.880
3.8000,6.2733,8.1261,1.8988,10.440
3.8100,5.9919,8.5774,2.5619,10.772
3.8260,5.7324,8.5538,4.0550,11.067
3.8610,5.2713,8.4012,5.8264,11.503
3.8610,3.9141,8.1792,7.4920,11.762
3.8620,2.1937,8.1456,7.8812,11.545
3.8620,0.3629,7.9612,7.4801,10.930
3.8680,-0.9527,7.4121,5.8957,9.519
3.8790,-1.7425,7.0633,3.8548,8.233
3.8890,-2.7675,6.6467,1.3700,7.329
3.9010,-4.1823,6.1440,-1.5779,7.598
3.9100,-4.9816,5.8390,-3.3226,8.364
3.9190,-5.6863,4.9838,-5.0768,9.108
3.9500,-6.2708,4.0906,-5.4150,9.240
3.9520,-6.9253,3.3377,-4.8529,9.091
3.9540,-7.4670,2.9651,-3.8578,8.912
3.9710,-7.9779,2.5199,-2.3868,8.700
3.9740,-8.3802,2.0627,-1.5237,8.764
3.9790,-9.0058,1.5447,-0.5872,9.156
3.9920,-9.7100,1.4120,-0.1541,9.813
3.9990,-9.8085,1.6617,-0.2439,9.951
4.0100,-8.7686,2.0492,-0.4370,9.015
4.0230,-7.1793,2.4026,-0.1456,7.572
4.0390,-6.0388,2.5188,0.0874,6.544
4.0400,-5.1125,2.7289,0.6391,5.830
4.0480,-3.7633,3.4488,1.6545,5.366
4.0600,-2.6119,4.0425,2.7760,5.556
4.0690,-1.9674,4.4462,5.0502,7.010
4.0810,-0.8328,4.1925,8.1870,9.236
4.0890,0.1955,4.1364,9.8328,10.669
4.0990,2.3377,5.4455,10.8818,12.391
4.1120,5.1007,7.4752,9.4917,13.114
4.1190,8.1268,8.1240,7.0585,13.486
4.1560,11.3962,7.7773,4.3365,14.463
4.1600,13.3763,6.7681,3.0255,15.293
4.1610,13.2522,5.8752,3.0591,14.815
4.1630,11.9588,4.0659,3.2091,13.032
4.1680,10.3486,1.7754,3.2952,11.005
4.1780,8.4410,-0.7435,3.2051,9.060
4.1880,6.5782,-2.5664,3.3385,7.811
4.2000,4.3587,-4.2091,3.4845,6.990
4.2120,3.1736,-5.0397,3.6519,6.986
4.2190,2.3065,-5.8825,3.8334,7.390
4.2280,1.9456,-6.4409,3.8512,7.753
4.2530,1.5948,-6.9753,3.4493,7.943
4.2540,1.0301,-7.6667,2.7324,8.204
4.2680,0.1864,-8.6295,1.8117,8.820
4.2780,-0.4615,-9.2528,1.4419,9.376
4.2840,-1.4373,-9.9770,1.1252,10.143
4.2920,-2.5201,-10.4410,0.5552,10.755
